Make_Model,Total_Accidents,Total_Fatalities,Fatal_Accidents,Avg_Fatalities_Per_Accident,Proportion_Fatal
AIRBUS A321,20,381.0,2,19.05,0.1
BOEING 737-200,53,906.0,11,17.09433962264151,0.20754716981132076
MCDONNELL DOUGLAS DC-9-32,18,262.0,4,14.555555555555555,0.2222222222222222
BOEING 757-200,21,254.0,3,12.095238095238095,0.14285714285714285
BOEING 747-200,18,210.0,2,11.666666666666666,0.1111111111111111
AIRBUS A330,34,331.0,2,9.735294117647058,0.058823529411764705
BOEING 727-224,14,131.0,1,9.357142857142858,0.07142857142857142
LOCKHEED L-1011-385-1,15,135.0,1,9.0,0.06666666666666667
BOEING 737-500,12,102.0,2,8.5,0.16666666666666666
DOUGLAS DC-9-32,16,134.0,3,8.375,0.1875
BOEING 727-223,18,141.0,1,7.833333333333333,0.05555555555555555
MCDONNELL DOUGLAS DC-9-31,17,109.0,3,6.411764705882353,0.17647058823529413
BOEING 737-400,30,165.0,5,5.5,0.16666666666666666
BOEING 737-222,15,78.0,1,5.2,0.06666666666666667
MCDONNELL DOUGLAS DC-9-82,31,158.0,2,5.096774193548387,0.06451612903225806
BOEING 737-800,33,154.0,1,4.666666666666667,0.030303030303030304
DOUGLAS DC-9-31,18,60.0,4,3.3333333333333335,0.2222222222222222
AIRBUS A320,85,283.0,4,3.3294117647058825,0.047058823529411764
DE HAVILLAND DHC-6-300,23,76.0,5,3.3043478260869565,0.21739130434782608
BOEING 737-300,51,167.0,4,3.2745098039215685,0.0784313725490196
